iter	Passed	Remaining
0	1	1339
1	2	1117
2	3	1083
3	3	989
4	4	921
5	5	870
6	5	838
7	6	815
8	7	795
9	7	781
10	8	762
11	9	742
12	9	728
13	10	724
14	10	711
15	11	695
16	11	683
17	12	674
18	12	660
19	13	649
20	13	637
21	14	627
22	14	620
23	15	615
24	15	613
25	16	622
26	17	613
27	17	604
28	17	594
29	18	585
30	18	576
31	18	567
32	19	560
33	19	552
34	19	544
35	20	537
36	20	530
37	20	524
38	21	518
39	21	513
40	21	507
41	22	502
42	22	498
43	22	494
44	23	490
45	23	487
46	23	484
47	24	481
48	24	477
49	25	475
50	25	472
51	25	471
