horizon,n_rows,long,short,neutral,long_share,event_rate,neutral_share,mean_hit_time,mean_event_score,mean_abs_soft_dev_all,mean_abs_soft_dev_directional,pct_soft_extreme_ge_0p10,tp_mult,sl_mult,mean_soft_sample_weight_directional
12,134,45,77,12,0.36885245901639346,0.9104477611940298,0.08955223880597014,3.6639344262295084,0.7863388657569885,0.407137770817351,0.44718410893053306,0.9104477611940298,1.2,1.2,1.0000000000000002
12,134,40,73,21,0.35398230088495575,0.8432835820895522,0.15671641791044777,3.4867256637168142,0.8013274073600769,0.3796293281797153,0.4501799112927597,0.8432835820895522,1.2,1.0,0.9999999999999998
12,134,44,65,25,0.4036697247706422,0.8134328358208955,0.1865671641791045,4.293577981651376,0.7340978980064392,0.36013330152230477,0.44273268260540216,0.8134328358208955,1.5,1.2,1.0000000000000002
12,134,39,61,34,0.39,0.746268656716418,0.2537313432835821,4.13,0.7471667528152466,0.33186065327765335,0.4446932753920555,0.746268656716418,1.5,1.0,1.0000000000000002
12,134,33,62,39,0.3473684210526316,0.7089552238805971,0.291044776119403,3.1789473684210527,0.8285964727401733,0.32338097980662955,0.4561373820430354,0.7089552238805971,1.2,0.7,1.0
12,134,38,52,44,0.4222222222222222,0.6716417910447762,0.3283582089552239,4.933333333333334,0.6885184645652771,0.29047274000164286,0.4324816351135572,0.6716417910447762,1.8,1.2,1.0
12,134,35,51,48,0.4069767441860465,0.6417910447761194,0.3582089552238806,5.383720930232558,0.6573643684387207,0.27373890890114344,0.4265234161948049,0.6417910447761194,2.0,1.2,1.0
12,134,31,49,54,0.3875,0.5970149253731343,0.40298507462686567,3.6625,0.7837499380111694,0.26979536752202615,0.45190724059939386,0.5970149253731343,1.5,0.7,1.0
12,134,33,47,54,0.4125,0.5970149253731343,0.40298507462686567,4.6875,0.7060416340827942,0.2594269033688218,0.4345400631427765,0.5970149253731343,1.8,1.0,1.0
12,134,30,45,59,0.4,0.5597014925373134,0.44029850746268656,5.08,0.6766666769981384,0.2401845454057651,0.42912972112496695,0.5597014925373134,2.0,1.0,1.0
12,134,24,38,72,0.3870967741935484,0.4626865671641791,0.5373134328358209,4.145161290322581,0.7451613545417786,0.20528848869587057,0.44368802395559126,0.4626865671641791,1.8,0.7,0.9999999999999999
12,134,23,35,76,0.39655172413793105,0.43283582089552236,0.5671641791044776,4.5,0.71925288438797,0.18992433018648802,0.4387906938791275,0.43283582089552236,2.0,0.7,1.0000000000000002
